total_skills_found,matched_skills_count,missing_skills_count,skill_match_percentage,project_count,experience_score,education_score,keyword_match_score,formatting_score,final_score,category
8,3,3,37.5,4,0.0,7,3,4,49,Average
7,0,14,0.0,0,13.0,9,10,3,35,Weak
24,4,4,16.7,1,10.0,7,6,3,39,Weak
19,17,7,89.5,4,1.0,10,10,0,77,Good
21,21,1,100.0,0,13.0,10,10,1,74,Good
20,15,13,75.0,0,0.0,9,7,2,48,Average
24,2,13,8.3,4,8.0,4,9,2,46,Average
4,4,11,100.0,1,7.0,7,1,5,66,Average
22,15,5,68.2,1,8.0,10,10,5,66,Average
3,2,0,66.7,3,15.0,7,5,4,76,Good
12,1,10,8.3,1,14.0,7,7,2,39,Weak
15,15,6,100.0,0,4.0,3,2,0,49,Average
10,4,14,40.0,0,9.0,10,1,4,40,Weak
5,0,10,0.0,0,15.0,9,9,5,38,Weak
6,1,8,16.7,0,11.0,4,4,2,28,Weak
20,8,14,40.0,4,14.0,7,1,4,62,Average
9,0,12,0.0,1,6.0,7,7,5,31,Weak
9,3,6,33.3,0,4.0,3,0,3,23,Weak
23,11,0,47.8,0,8.0,10,4,1,42,Average
5,5,1,100.0,2,13.0,10,7,0,82,Good
23,2,6,8.7,5,14.0,10,7,4,58,Average
23,13,8,56.5,2,10.0,4,4,3,56,Average
15,14,0,93.3,0,11.0,4,4,0,56,Average
5,4,1,80.0,1,8.0,3,9,0,58,Average
5,5,10,100.0,2,5.0,9,2,5,73,Good
8,1,11,12.5,1,6.0,4,0,1,22,Weak
15,12,0,80.0,5,7.0,10,1,1,71,Good
5,5,7,100.0,4,13.0,10,8,3,94,Excellent
12,4,1,33.3,2,8.0,3,5,2,43,Average
4,2,10,50.0,5,12.0,10,0,5,67,Average
14,7,12,50.0,1,0.0,3,1,4,34,Weak
2,1,13,50.0,0,12.0,7,0,2,41,Average
18,5,8,27.8,5,8.0,7,8,1,55,Average
3,3,9,100.0,5,15.0,10,5,5,95,Excellent
6,6,13,100.0,1,7.0,9,0,3,65,Average
6,2,9,33.3,3,7.0,10,2,5,55,Average
21,17,6,81.0,1,2.0,7,6,2,55,Average
3,1,11,33.3,3,12.0,10,6,0,59,Average
11,9,8,81.8,4,11.0,10,9,5,88,Excellent
15,9,12,60.0,4,13.0,10,0,1,68,Average
13,6,7,46.2,3,1.0,7,0,5,49,Average
17,2,13,11.8,4,3.0,4,0,4,36,Weak
20,13,0,65.0,3,14.0,10,4,1,73,Good
11,3,0,27.3,4,0.0,9,7,4,51,Average
21,4,1,19.0,1,8.0,10,7,0,39,Weak
9,1,8,11.1,2,6.0,7,2,2,33,Weak
24,24,10,100.0,2,15.0,10,7,2,86,Excellent
13,1,3,7.7,3,13.0,9,7,3,53,Average
18,15,2,83.3,0,14.0,9,2,3,61,Average
22,19,12,86.4,1,4.0,3,8,3,59,Average
20,0,11,0.0,5,9.0,7,4,2,42,Average
21,12,9,57.1,0,11.0,9,0,4,47,Average
14,8,7,57.1,3,15.0,9,4,0,69,Average
2,1,6,50.0,3,0.0,10,8,4,60,Average
13,9,0,69.2,2,15.0,4,7,0,66,Average
6,2,2,33.3,0,5.0,4,2,0,24,Weak
22,10,13,45.5,0,2.0,10,8,4,42,Average
7,3,5,42.9,1,9.0,10,4,0,46,Average
7,6,10,85.7,0,12.0,3,5,4,58,Average
7,5,10,71.4,0,2.0,4,0,0,35,Weak
16,6,4,37.5,0,0.0,10,10,0,35,Weak
15,14,3,93.3,1,14.0,3,9,5,74,Good
23,19,10,82.6,5,14.0,9,2,1,79,Good
11,11,1,100.0,3,2.0,3,6,5,74,Good
8,6,7,75.0,0,14.0,3,8,2,57,Average
3,1,13,33.3,3,14.0,9,5,4,63,Average
2,2,10,100.0,0,15.0,9,2,5,71,Good
10,3,11,30.0,2,3.0,7,10,0,44,Average
23,6,1,26.1,0,9.0,10,2,1,32,Weak
14,6,2,42.9,0,15.0,4,3,3,42,Average
22,22,4,100.0,0,14.0,7,4,5,70,Average
4,2,4,50.0,2,9.0,9,9,1,60,Average
4,1,2,25.0,2,3.0,9,5,1,40,Weak
21,10,14,47.6,2,1.0,4,7,2,45,Average
4,1,2,25.0,3,4.0,9,9,1,51,Average
3,2,10,66.7,4,1.0,7,10,1,66,Average
11,4,8,36.4,4,3.0,7,9,0,54,Average
23,13,9,56.5,3,1.0,10,9,4,65,Average
17,6,3,35.3,3,12.0,4,10,4,62,Average
4,1,4,25.0,2,9.0,9,10,0,50,Average
21,21,9,100.0,1,8.0,10,7,3,74,Good
21,7,4,33.3,2,12.0,9,1,3,50,Average
20,1,10,5.0,0,6.0,10,1,3,22,Weak
22,8,0,36.4,5,6.0,7,8,5,61,Average
7,4,1,57.1,2,3.0,4,3,3,48,Average
24,2,10,8.3,4,7.0,10,8,4,52,Average
9,3,9,33.3,5,2.0,9,10,0,54,Average
20,3,0,15.0,2,9.0,4,7,0,38,Weak
15,8,13,53.3,5,15.0,4,8,3,71,Good
19,14,0,73.7,2,8.0,4,3,5,61,Average
16,16,14,100.0,0,4.0,10,4,2,60,Average
16,6,10,37.5,0,11.0,3,10,3,42,Average
16,14,14,87.5,0,13.0,9,8,1,66,Average
19,4,14,21.1,5,7.0,7,2,2,46,Average
18,14,4,77.8,2,4.0,3,10,4,64,Average
5,3,11,60.0,1,11.0,9,5,3,58,Average
20,15,3,75.0,2,2.0,9,9,0,62,Average
14,11,7,78.6,1,15.0,9,5,5,71,Good
9,5,3,55.6,5,5.0,7,6,5,65,Average
13,3,7,23.1,5,5.0,4,1,2,41,Average
24,13,13,54.2,0,11.0,3,3,2,41,Average
21,18,6,85.7,4,0.0,3,7,3,67,Average
21,21,1,100.0,2,3.0,4,9,4,72,Good
12,12,4,100.0,0,2.0,9,0,2,53,Average
20,3,11,15.0,5,6.0,3,0,0,35,Weak
10,6,7,60.0,0,8.0,10,7,0,49,Average
17,1,8,5.9,1,2.0,7,4,4,25,Weak
16,11,6,68.8,0,5.0,4,9,4,50,Average
7,7,4,100.0,2,12.0,10,0,4,78,Good
8,0,8,0.0,3,15.0,3,3,0,39,Weak
3,2,9,66.7,1,0.0,10,0,1,44,Average
5,5,13,100.0,0,10.0,4,7,2,63,Average
11,10,9,90.9,0,0.0,4,9,1,50,Average
12,5,14,41.7,5,8.0,7,1,2,55,Average
5,0,12,0.0,4,14.0,10,3,3,50,Average
11,11,1,100.0,5,12.0,4,9,1,86,Excellent
15,14,5,93.3,3,3.0,10,0,0,68,Average
7,4,5,57.1,3,4.0,4,10,2,61,Average
9,9,0,100.0,4,12.0,4,9,4,89,Excellent
10,0,2,0.0,3,13.0,9,1,3,44,Average
13,8,11,61.5,2,4.0,9,1,1,52,Average
10,0,5,0.0,1,0.0,4,7,1,18,Weak
18,17,2,94.4,2,7.0,3,0,3,63,Average
9,6,4,66.7,0,9.0,4,5,1,46,Average
11,10,4,90.9,1,7.0,7,0,5,61,Average
10,6,2,60.0,4,14.0,3,5,5,71,Good
6,0,1,0.0,5,13.0,3,3,0,39,Weak
17,0,11,0.0,0,12.0,10,7,5,34,Weak
7,2,12,28.6,0,0.0,3,9,0,23,Weak
8,6,7,75.0,0,13.0,7,5,2,57,Average
20,3,9,15.0,4,12.0,9,7,4,58,Average
23,20,13,87.0,1,6.0,4,6,1,58,Average
17,4,12,23.5,1,9.0,7,10,1,42,Average
23,11,0,47.8,0,13.0,3,2,0,37,Weak
21,4,14,19.0,5,14.0,9,2,4,57,Average
13,6,1,46.2,2,8.0,9,4,0,51,Average
19,9,0,47.4,4,0.0,10,8,2,59,Average
9,0,6,0.0,4,9.0,10,9,2,50,Average
12,7,11,58.3,0,10.0,4,3,5,45,Average
14,11,1,78.6,4,0.0,3,1,5,60,Average
24,23,4,95.8,3,13.0,4,6,4,83,Good
21,7,3,33.3,3,3.0,3,6,4,47,Average
13,12,5,92.3,1,14.0,7,4,3,71,Good
17,15,14,88.2,5,8.0,3,2,2,70,Average
6,6,4,100.0,5,5.0,10,9,0,84,Good
20,7,3,35.0,2,0.0,9,9,5,49,Average
14,12,1,85.7,0,0.0,4,8,2,48,Average
14,8,2,57.1,5,11.0,10,6,2,72,Good
19,1,1,5.3,5,6.0,9,2,0,39,Weak
16,4,8,25.0,3,13.0,7,4,1,53,Average
3,2,6,66.7,3,3.0,3,0,3,54,Average
8,1,7,12.5,1,14.0,4,2,2,33,Weak
6,3,12,50.0,0,15.0,7,4,3,49,Average
18,14,8,77.8,5,1.0,9,4,1,66,Average
2,0,2,0.0,2,10.0,4,0,0,26,Weak
6,3,5,50.0,1,15.0,9,10,5,65,Average
15,3,4,20.0,4,5.0,4,2,2,41,Average
17,9,12,52.9,0,1.0,4,5,2,33,Weak
13,3,4,23.1,0,14.0,7,5,1,36,Weak
21,21,2,100.0,1,7.0,3,5,3,64,Average
23,1,11,4.3,2,0.0,7,9,3,33,Weak
5,5,6,100.0,2,13.0,4,8,2,79,Good
23,19,1,82.6,1,10.0,4,9,5,67,Average
16,14,10,87.5,2,1.0,9,4,5,66,Average
16,14,3,87.5,2,4.0,4,2,1,58,Average
4,0,13,0.0,3,0.0,9,4,3,34,Weak
16,15,12,93.8,3,15.0,9,6,5,91,Excellent
18,11,5,61.1,5,0.0,9,3,2,58,Average
15,15,8,100.0,4,12.0,4,5,0,81,Good
3,3,8,100.0,1,8.0,10,1,0,65,Average
14,8,9,57.1,5,9.0,4,6,4,66,Average
23,8,1,34.8,3,12.0,4,7,5,60,Average
18,2,4,11.1,1,14.0,10,5,0,39,Weak
5,0,2,0.0,2,2.0,4,9,3,30,Weak
24,9,10,37.5,4,0.0,9,10,2,56,Average
24,20,1,83.3,4,1.0,3,9,1,67,Average
5,3,7,60.0,2,10.0,9,1,3,59,Average
20,10,10,50.0,0,9.0,10,9,5,53,Average
11,2,14,18.2,1,1.0,9,3,1,27,Weak
15,9,4,60.0,0,3.0,7,4,0,38,Weak
12,8,0,66.7,4,8.0,10,4,2,71,Good
20,20,10,100.0,3,11.0,4,3,1,77,Good
24,18,0,75.0,2,5.0,4,9,4,64,Average
20,12,0,60.0,4,15.0,3,7,3,72,Good
23,21,14,91.3,4,15.0,9,10,0,91,Excellent
23,10,12,43.5,4,12.0,9,10,2,70,Average
4,4,10,100.0,0,7.0,9,4,4,64,Average
7,2,12,28.6,3,14.0,9,7,2,61,Average
18,2,1,11.1,5,11.0,3,5,3,46,Average
15,6,1,40.0,4,8.0,9,5,1,59,Average
3,0,4,0.0,1,7.0,9,8,1,31,Weak
4,0,0,0.0,2,13.0,4,7,0,36,Weak
13,12,13,92.3,5,8.0,7,10,0,82,Good
16,13,0,81.2,0,2.0,10,8,0,52,Average
5,1,8,20.0,3,15.0,7,6,3,57,Average
5,5,12,100.0,0,1.0,9,10,0,60,Average
4,0,11,0.0,5,11.0,7,1,3,42,Average
14,4,3,28.6,0,10.0,9,8,5,43,Average
2,2,7,100.0,0,9.0,9,4,4,66,Average
15,4,8,26.7,1,0.0,9,4,3,33,Weak
12,9,11,75.0,1,7.0,9,8,0,60,Average
12,11,6,91.7,2,14.0,10,3,2,78,Good
17,1,4,5.9,1,3.0,4,9,5,29,Weak
14,0,11,0.0,2,11.0,10,5,2,40,Weak
18,17,13,94.4,3,13.0,9,3,4,85,Good
19,10,7,52.6,3,15.0,7,3,4,68,Average
23,12,0,52.2,5,8.0,4,4,1,58,Average
20,9,7,45.0,2,5.0,7,10,0,52,Average
13,6,13,46.2,3,11.0,9,1,0,57,Average
13,9,14,69.2,4,7.0,4,5,1,65,Average
7,4,6,57.1,1,10.0,4,9,1,53,Average
15,2,2,13.3,4,11.0,10,5,3,54,Average
5,3,8,60.0,5,11.0,7,6,3,71,Good
23,16,12,69.6,1,3.0,9,3,2,51,Average
21,2,14,9.5,1,12.0,3,1,4,30,Weak
4,1,0,25.0,2,8.0,3,7,4,44,Average
20,16,4,80.0,1,14.0,10,10,4,76,Good
4,3,7,75.0,3,10.0,3,5,5,71,Good
18,2,1,11.1,5,14.0,9,4,2,53,Average
4,0,13,0.0,3,15.0,10,1,4,48,Average
13,8,1,61.5,0,15.0,7,10,2,59,Average
17,8,9,47.1,1,11.0,10,9,1,56,Average
18,18,13,100.0,4,9.0,7,9,0,85,Good
11,6,10,54.5,1,1.0,10,3,0,42,Average
23,22,11,95.7,3,6.0,4,6,5,77,Good
19,4,3,21.1,4,7.0,7,4,1,47,Average
6,3,12,50.0,1,12.0,4,2,5,49,Average
17,2,6,11.8,3,9.0,9,2,4,47,Average
18,10,0,55.6,2,7.0,3,4,2,50,Average
9,1,5,11.1,0,2.0,10,6,5,27,Weak
18,9,5,50.0,2,11.0,3,1,5,52,Average
22,7,7,31.8,2,6.0,4,7,5,47,Average
20,3,3,15.0,0,0.0,7,5,2,20,Weak
19,1,6,5.3,5,4.0,3,9,1,39,Weak
16,8,6,50.0,3,14.0,7,3,0,62,Average
8,8,4,100.0,0,1.0,10,0,5,56,Average
20,4,10,20.0,5,6.0,10,3,5,52,Average
10,4,4,40.0,5,8.0,3,10,3,60,Average
14,3,11,21.4,0,1.0,7,3,0,20,Weak
9,8,3,88.9,0,2.0,7,7,4,56,Average
9,4,12,44.4,2,15.0,3,9,1,58,Average
5,5,5,100.0,3,9.0,9,3,3,82,Good
24,6,0,25.0,4,3.0,7,7,3,50,Average
5,0,2,0.0,2,2.0,9,2,0,25,Weak
3,2,12,66.7,3,6.0,4,3,0,58,Average
23,15,13,65.2,0,11.0,4,3,0,44,Average
14,14,3,100.0,3,11.0,9,7,5,90,Excellent
12,11,9,91.7,5,3.0,9,9,5,83,Good
18,16,8,88.9,3,11.0,3,2,2,72,Good
10,6,2,60.0,2,14.0,4,3,2,59,Average
4,1,6,25.0,1,3.0,7,9,2,37,Weak
18,8,10,44.4,5,0.0,10,5,2,55,Average
6,0,14,0.0,0,15.0,4,5,3,27,Weak
14,6,12,42.9,1,8.0,4,7,2,44,Average
23,8,1,34.8,0,12.0,10,1,3,40,Weak
23,0,3,0.0,5,5.0,9,9,2,45,Average
10,2,6,20.0,2,4.0,10,4,3,41,Average
19,10,2,52.6,5,3.0,9,7,5,65,Average
16,6,8,37.5,3,3.0,10,4,1,51,Average
13,13,0,100.0,3,7.0,3,8,0,76,Good
5,2,1,40.0,3,1.0,4,6,3,48,Average
10,10,0,100.0,1,13.0,4,1,0,64,Average
16,11,4,68.8,3,8.0,3,2,1,60,Average
24,1,11,4.2,4,14.0,9,9,4,58,Average
2,0,2,0.0,5,8.0,9,5,2,44,Average
18,13,14,72.2,3,4.0,3,3,3,60,Average
21,11,4,52.4,5,8.0,3,1,4,57,Average
23,7,0,30.4,5,2.0,3,1,0,38,Weak
11,6,5,54.5,3,13.0,7,10,2,72,Good
4,4,11,100.0,2,11.0,7,10,0,80,Good
8,3,1,37.5,0,2.0,4,4,2,27,Weak
21,0,1,0.0,1,9.0,10,2,1,28,Weak
22,7,12,31.8,5,8.0,4,4,5,54,Average
16,15,8,93.8,0,3.0,7,1,1,50,Average
4,3,5,75.0,2,1.0,7,6,1,57,Average
4,4,11,100.0,4,12.0,4,6,0,82,Good
12,11,12,91.7,1,4.0,10,10,0,67,Average
15,1,5,6.7,5,8.0,10,3,1,45,Average
2,0,8,0.0,3,3.0,3,2,1,27,Weak
17,1,0,5.9,0,10.0,7,1,4,24,Weak
14,0,4,0.0,1,0.0,3,4,5,18,Weak
2,2,8,100.0,4,5.0,7,6,5,83,Good
4,4,2,100.0,5,8.0,9,0,5,82,Good
12,2,14,16.7,5,7.0,7,8,5,54,Average
18,13,14,72.2,5,9.0,4,5,2,69,Average
20,11,3,55.0,0,2.0,4,8,2,38,Weak
11,0,5,0.0,4,7.0,4,5,3,39,Weak
8,8,2,100.0,0,12.0,4,1,1,58,Average
24,21,7,87.5,0,5.0,4,0,3,47,Average
12,7,1,58.3,4,2.0,9,6,5,65,Average
9,7,5,77.8,2,13.0,3,5,1,65,Average
12,5,8,41.7,3,12.0,3,8,4,62,Average
2,2,9,100.0,5,10.0,7,9,5,91,Excellent
8,4,8,50.0,0,12.0,9,1,3,45,Average
13,13,3,100.0,3,12.0,4,3,2,79,Good
23,1,11,4.3,5,11.0,4,2,1,40,Weak
18,3,10,16.7,2,8.0,9,1,1,38,Weak
19,19,11,100.0,3,0.0,4,0,1,63,Average
14,4,7,28.6,2,9.0,9,0,4,45,Average
4,1,13,25.0,5,4.0,3,5,3,45,Average
10,8,5,80.0,0,12.0,3,1,1,49,Average
24,4,12,16.7,5,7.0,7,2,3,46,Average
3,2,3,66.7,4,14.0,4,1,4,70,Average
22,6,3,27.3,4,9.0,9,7,0,56,Average
17,3,7,17.6,2,8.0,7,6,0,40,Weak
8,8,8,100.0,3,14.0,4,10,5,91,Excellent
19,3,11,15.8,2,7.0,3,1,4,33,Weak
21,2,4,9.5,1,6.0,3,2,3,24,Weak
2,2,13,100.0,5,5.0,9,5,5,84,Good
4,4,4,100.0,3,14.0,4,7,3,86,Excellent
17,2,8,11.8,4,12.0,7,1,3,48,Average
24,17,13,70.8,0,2.0,10,2,1,43,Average
2,1,8,50.0,4,7.0,10,4,4,65,Average
17,14,10,82.4,3,5.0,4,0,4,64,Average
5,0,13,0.0,5,10.0,3,4,1,38,Weak
16,16,14,100.0,0,0.0,9,8,4,61,Average
16,10,7,62.5,3,11.0,9,5,4,72,Good
4,4,6,100.0,3,11.0,4,4,0,77,Good
17,6,2,35.3,3,3.0,7,5,0,47,Average
22,21,8,95.5,0,2.0,3,10,3,56,Average
21,13,13,61.9,2,10.0,9,5,3,64,Average
2,0,7,0.0,1,4.0,9,5,3,27,Weak
7,7,5,100.0,3,15.0,4,10,2,89,Excellent
7,6,1,85.7,1,12.0,7,1,5,65,Average
12,3,5,25.0,2,15.0,4,1,2,44,Average
5,3,3,60.0,3,8.0,3,4,1,58,Average
21,8,14,38.1,0,15.0,3,3,0,36,Weak
19,10,7,52.6,4,0.0,10,2,5,58,Average
20,20,2,100.0,4,4.0,7,1,4,76,Good
6,6,1,100.0,0,0.0,3,9,2,54,Average
2,0,12,0.0,0,10.0,3,6,1,20,Weak
22,22,13,100.0,5,8.0,4,7,0,79,Good
8,3,11,37.5,1,4.0,10,1,0,36,Weak
17,12,1,70.6,5,4.0,4,3,0,59,Average
22,17,1,77.3,2,10.0,10,6,3,72,Good
2,1,2,50.0,2,2.0,7,5,1,47,Average
2,1,11,50.0,1,8.0,9,7,0,50,Average
2,1,11,50.0,3,9.0,9,7,1,64,Average
5,5,12,100.0,0,3.0,3,4,4,54,Average
3,1,1,33.3,2,3.0,3,8,2,41,Average
20,5,2,25.0,2,5.0,10,2,0,39,Weak
15,5,13,33.3,0,9.0,10,0,4,36,Weak
24,4,13,16.7,2,4.0,3,10,2,38,Weak
20,8,10,40.0,3,6.0,9,0,1,50,Average
24,2,1,8.3,4,8.0,10,3,4,48,Average
7,0,1,0.0,0,2.0,10,1,5,18,Weak
8,6,0,75.0,5,9.0,4,2,3,68,Average
21,1,10,4.8,5,2.0,10,4,0,38,Weak
7,4,12,57.1,4,2.0,9,1,1,56,Average
3,3,9,100.0,5,3.0,10,5,3,81,Good
17,13,3,76.5,2,4.0,3,10,5,65,Average
20,9,11,45.0,4,0.0,9,1,5,53,Average
24,4,0,16.7,4,15.0,3,10,5,60,Average
23,22,12,95.7,3,4.0,4,4,4,72,Good
4,4,13,100.0,1,12.0,3,6,3,70,Average
19,12,10,63.2,3,14.0,7,4,3,71,Good
21,1,13,4.8,5,12.0,10,3,4,51,Average
18,0,8,0.0,5,13.0,9,1,4,47,Average
20,6,7,30.0,2,1.0,4,6,3,38,Weak
21,3,4,14.3,1,5.0,7,10,0,34,Weak
12,11,13,91.7,4,11.0,4,5,5,82,Good
2,0,10,0.0,0,9.0,9,6,0,24,Weak
12,3,2,25.0,0,0.0,4,7,2,23,Weak
6,6,14,100.0,3,9.0,3,4,2,76,Good
4,4,0,100.0,5,12.0,7,1,5,85,Good
4,1,8,25.0,1,13.0,10,5,0,44,Average
18,7,2,38.9,2,6.0,7,9,2,52,Average
13,7,9,53.8,1,3.0,4,3,2,40,Weak
14,9,6,64.3,2,4.0,3,9,0,54,Average
19,18,6,94.7,0,4.0,10,9,1,62,Average
14,13,10,92.9,3,5.0,9,2,2,73,Good
16,16,11,100.0,3,4.0,3,6,5,76,Good
3,0,5,0.0,1,7.0,3,8,2,26,Weak
21,5,14,23.8,1,0.0,3,5,5,29,Weak
12,7,7,58.3,4,4.0,4,7,4,62,Average
5,0,2,0.0,1,5.0,10,10,4,35,Weak
20,7,0,35.0,0,2.0,3,6,5,30,Weak
18,2,3,11.1,0,14.0,10,9,4,41,Average
3,3,10,100.0,5,10.0,3,8,4,85,Good
6,0,8,0.0,2,14.0,9,8,0,43,Average
2,0,5,0.0,0,8.0,4,9,4,25,Weak
8,1,7,12.5,5,1.0,10,2,0,38,Weak
4,0,12,0.0,0,14.0,7,0,4,25,Weak
18,10,8,55.6,2,7.0,4,1,3,49,Average
14,5,0,35.7,0,10.0,4,2,4,34,Weak
24,22,0,91.7,4,6.0,10,7,3,83,Good
19,5,7,26.3,4,7.0,7,5,2,52,Average
16,9,6,56.2,4,7.0,4,5,2,60,Average
13,9,12,69.2,1,4.0,9,0,3,50,Average
3,2,8,66.7,1,8.0,7,7,2,57,Average
3,3,11,100.0,5,11.0,9,4,2,86,Excellent
16,3,8,18.8,4,0.0,7,8,2,45,Average
2,1,5,50.0,0,2.0,3,1,3,29,Weak
2,2,9,100.0,4,13.0,3,3,1,80,Good
7,6,9,85.7,4,9.0,3,0,3,69,Average
22,14,10,63.6,3,15.0,7,3,1,69,Average
12,8,2,66.7,3,9.0,7,10,1,72,Good
18,16,9,88.9,0,10.0,9,5,2,62,Average
11,7,4,63.6,0,14.0,10,4,0,53,Average
5,5,11,100.0,0,10.0,3,3,3,59,Average
10,1,11,10.0,0,5.0,10,2,4,25,Weak
4,1,9,25.0,5,8.0,10,7,5,60,Average
19,2,14,10.5,3,3.0,9,10,1,45,Average
6,0,8,0.0,4,5.0,7,8,3,43,Average
10,5,0,50.0,1,10.0,3,8,3,50,Average
24,5,9,20.8,5,2.0,3,5,4,42,Average
15,6,11,40.0,1,10.0,3,1,3,39,Weak
12,5,1,41.7,5,9.0,9,7,4,66,Average
14,9,1,64.3,0,4.0,7,8,5,50,Average
20,19,4,95.0,0,0.0,3,5,0,46,Average
7,6,12,85.7,0,11.0,3,1,2,51,Average
16,6,7,37.5,4,13.0,3,7,3,61,Average
22,7,14,31.8,1,11.0,9,10,3,52,Average
15,12,13,80.0,2,6.0,9,2,2,63,Average
12,1,8,8.3,2,10.0,9,1,1,36,Weak
5,3,10,60.0,4,6.0,3,8,3,64,Average
7,3,4,42.9,2,5.0,3,3,4,44,Average
23,4,1,17.4,0,5.0,3,7,0,22,Weak
14,9,5,64.3,2,3.0,9,7,3,60,Average
8,2,8,25.0,1,15.0,9,2,5,47,Average
11,2,2,18.2,4,10.0,4,0,3,44,Average
15,10,3,66.7,4,2.0,3,6,5,63,Average
14,2,0,14.3,0,13.0,4,4,2,29,Weak
18,12,11,66.7,4,2.0,10,9,0,68,Average
7,1,13,14.3,0,9.0,3,3,4,25,Weak
16,7,12,43.8,3,2.0,9,2,1,50,Average
12,10,5,83.3,2,5.0,7,9,0,66,Average
23,5,8,21.7,1,10.0,3,8,1,37,Weak
5,4,14,80.0,2,15.0,10,6,5,80,Good
5,4,8,80.0,1,15.0,7,10,4,74,Good
12,11,4,91.7,4,14.0,9,8,1,89,Excellent
13,2,5,15.4,5,3.0,3,9,3,44,Average
17,12,10,70.6,4,1.0,4,8,2,63,Average
11,11,6,100.0,2,14.0,9,4,1,80,Good
23,18,12,78.3,3,14.0,9,0,5,77,Good
12,2,12,16.7,2,4.0,3,6,4,36,Weak
4,4,0,100.0,4,0.0,9,8,2,79,Good
4,0,10,0.0,3,10.0,10,10,2,50,Average
24,14,5,58.3,2,1.0,9,7,4,56,Average
5,2,7,40.0,2,0.0,4,6,2,40,Weak
23,12,3,52.2,2,14.0,10,6,2,65,Average
8,4,5,50.0,3,7.0,9,1,2,57,Average
4,0,4,0.0,4,1.0,3,0,2,26,Weak
9,5,0,55.6,2,10.0,3,0,3,50,Average
16,15,11,93.8,4,5.0,10,9,0,82,Good
11,5,2,45.5,4,8.0,4,8,2,60,Average
20,5,5,25.0,2,14.0,3,2,2,43,Average
16,16,2,100.0,5,3.0,7,4,1,75,Good
11,1,2,9.1,1,10.0,7,5,2,34,Weak
16,8,5,50.0,5,13.0,7,2,2,64,Average
24,12,13,50.0,1,6.0,9,4,2,47,Average
11,5,14,45.5,3,15.0,10,3,5,69,Average
5,5,5,100.0,1,7.0,9,7,3,72,Good
11,5,7,45.5,2,7.0,3,8,3,51,Average
21,21,14,100.0,2,14.0,3,1,1,71,Good
7,0,3,0.0,4,10.0,3,5,5,43,Average
23,17,14,73.9,0,13.0,4,10,0,57,Average
15,9,1,60.0,5,12.0,4,9,3,72,Good
15,3,3,20.0,5,11.0,10,8,1,58,Average
9,2,5,22.2,3,3.0,4,8,4,46,Average
23,17,0,73.9,3,6.0,3,0,2,59,Average
2,1,12,50.0,4,13.0,10,10,1,74,Good
8,5,12,62.5,1,9.0,4,8,0,52,Average
11,0,5,0.0,4,4.0,10,9,4,47,Average
12,7,12,58.3,1,5.0,9,9,2,54,Average
12,12,11,100.0,4,12.0,10,2,1,85,Good
5,0,12,0.0,1,2.0,10,0,5,23,Weak
7,3,12,42.9,4,1.0,3,7,0,48,Average
4,2,8,50.0,4,12.0,9,5,2,68,Average
15,14,1,93.3,1,4.0,7,0,0,54,Average
10,3,13,30.0,3,12.0,9,2,0,53,Average
15,7,9,46.7,2,8.0,9,10,0,58,Average
15,11,13,73.3,1,15.0,7,3,1,61,Average
18,1,14,5.6,3,8.0,4,2,5,39,Weak
14,12,2,85.7,5,13.0,10,7,2,86,Excellent
16,13,6,81.2,0,13.0,9,7,5,66,Average
15,11,2,73.3,5,3.0,10,3,1,66,Average
17,11,0,64.7,5,15.0,4,9,4,78,Good
16,12,14,75.0,3,11.0,10,6,0,75,Good
9,7,13,77.8,3,1.0,4,1,0,55,Average
7,7,13,100.0,2,0.0,7,3,0,62,Average
20,8,13,40.0,0,4.0,10,9,5,44,Average
9,4,9,44.4,3,0.0,4,0,4,44,Average
14,9,7,64.3,4,5.0,4,0,4,59,Average
6,1,14,16.7,1,15.0,10,7,5,50,Average
11,10,8,90.9,4,7.0,10,4,1,78,Good
14,11,9,78.6,4,0.0,4,2,4,61,Average
16,10,3,62.5,4,7.0,4,5,3,64,Average
14,4,11,28.6,2,3.0,4,2,3,35,Weak
10,3,12,30.0,2,13.0,3,4,3,47,Average
24,10,10,41.7,2,1.0,7,2,2,41,Average
13,9,7,69.2,5,12.0,4,6,0,70,Average
20,16,2,80.0,5,7.0,10,7,0,76,Good
18,12,0,66.7,2,0.0,3,10,3,55,Average
14,13,9,92.9,5,10.0,9,0,3,79,Good
22,22,10,100.0,3,7.0,7,3,4,79,Good
4,3,11,75.0,2,12.0,9,2,3,68,Average
23,8,14,34.8,0,9.0,3,6,1,33,Weak
21,13,7,61.9,3,12.0,7,5,2,69,Average
13,5,12,38.5,3,7.0,9,9,2,60,Average
18,11,10,61.1,5,0.0,4,10,5,63,Average
13,11,4,84.6,4,2.0,10,8,3,77,Good
8,3,12,37.5,0,7.0,7,2,3,34,Weak
20,10,0,50.0,3,6.0,4,0,4,52,Average
7,0,8,0.0,4,12.0,3,9,2,46,Average
9,7,14,77.8,2,6.0,3,10,5,67,Average
13,6,9,46.2,2,13.0,7,2,4,56,Average
21,10,14,47.6,4,3.0,7,0,5,54,Average
10,5,0,50.0,3,6.0,10,7,4,65,Average
13,3,7,23.1,4,12.0,9,6,3,59,Average
2,1,11,50.0,2,1.0,3,9,0,45,Average
